Category,Item/Location,Details,Rainy Season/Period,Population,Marketing Angle,Price Point,Priority
FINANCIAL PROJECTIONS,Month 3,5-7 orders/day,$150-210 daily profit,Expanding markets,Growth phase,$4500-6300,TARGET
FINANCIAL PROJECTIONS,Month 6,10-15 orders/day,$300-450 daily profit,Established markets,Scale phase,$9000-13500,OPTIMISTIC
FINANCIAL PROJECTIONS,Break-even point,34 units sold,$2000 initial investment,All,Achievable in Week 2-3,Revenue $2000,HIGH
,,,,,,,
AUTOMATION SETUP,Order Processing,"Shopify to supplier automation",Immediate,All,Zapier/Make.com integration,5 hours setup,HIGH
AUTOMATION SETUP,Customer Service,FAQ chatbot + email sequences,Immediate,All,ManyChat + Klaviyo,3 hours setup,HIGH
AUTOMATION SETUP,Inventory Tracking,Stock alerts and updates,Daily sync,All,Shopify + Google Sheets,2 hours setup,MEDIUM
AUTOMATION SETUP,Review Collection,Automated review requests,7 days post-delivery,All,Judge.me or Loox,1 hour setup,MEDIUM
AUTOMATION SETUP,Marketing Automation,Social media scheduling,3x daily posts,All,Buffer/Hootsuite,2 hours setup,LOW
,,,,,,,
LAUNCH TIMELINE,Week 1,"Business registration, Shopify setup, product sourcing",Immediate,Local,Test with 10 units locally,$500 budget,HIGH
LAUNCH TIMELINE,Week 2,"Product photography, website design, email setup",Preparation,All,Create compelling content,$200 budget,HIGH
LAUNCH TIMELINE,Week 3,"Soft launch to friends/family, collect testimonials",Testing,Local,Get 10 initial reviews,$100 marketing,HIGH
LAUNCH TIMELINE,Week 4,Facebook ads launch + influencer outreach,Go-live,Nigeria first,Scale gradually,$300 ad spend,HIGH
LAUNCH TIMELINE,Month 2,Expand to 2-3 African countries,Expansion,Africa,Test international shipping,$500 ad spend,MEDIUM
LAUNCH TIMELINE,Month 3,Add UK/Ireland + Southeast Asia,Scale,International,Multi-currency setup,$1000 ad spend,MEDIUM
